Code,Place_Name,Category,Sort,OrderName,FamilyName,Taxon,TSN,TaxonRecordStatus,ScientificName,CommonNames,Synonyms,Occurrence,Code ,Latitude,Longitude
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81962,177029.0,Active,Fratercula corniculata,Horned Puffin,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81945,177013.0,Active,Ptychoramphus aleuticus,Cassin's Auklet,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81939,177008.0,Active,Synthliboramphus antiquus,Ancient Murrelet,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81942,177010.0,Active,Synthliboramphus craveri,Craveri's Murrelet,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81943,177011.0,Active,Synthliboramphus hypoleucus,Xantus' Murrelet,Brachyramphus hypoleuca scrippsi,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81900,176974.0,Active,Uria aalge,Common Murre,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Charadriidae,77635,176510.0,Active,Charadrius alexandrinus,Snowy Plover,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Charadriidae,77648,176522.0,Active,Charadrius montanus,Mountain Plover,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Charadriidae,77630,176506.0,Active,Charadrius semipalmatus,Semipalmated Plover,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Charadriidae,77646,176520.0,Active,Charadrius vociferus,Killdeer,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Charadriidae,77694,176564.0,Active,Pluvialis dominica,Lesser Golden-Plover,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Charadriidae,77697,176567.0,Active,Pluvialis squatarola,Black-bellied Plover,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Haematopodidae,77595,176475.0,Active,Haematopus bachmani,Black Oystercatcher,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Haematopodidae,77592,176472.0,Active,Haematopus palliatus,American Oystercatcher,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81064,176824.0,Active,Larus argentatus,Herring Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81078,176837.0,Active,Larus atricilla,Laughing Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81069,176829.0,Active,Larus californicus,California Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81073,176832.0,Active,Larus canus,Mew Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81071,176830.0,Active,Larus delawarensis,Ring-billed Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,80383,176814.0,Active,Larus glaucescens,Glaucous-winged Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81083,176841.0,Active,Larus heermanni,Heermann's Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,80376,176808.0,Active,Larus hyperboreus,Glaucous Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81056,176817.0,Active,Larus occidentalis,Western Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81080,176839.0,Active,Larus philadelphia,Bonaparte's Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81079,176838.0,Active,Larus pipixcan,Franklin's Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81068,176828.0,Active,Larus thayeri,Thayer's Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81120,176875.0,Active,Rissa tridactyla,Black-legged Kittiwake,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81175,176924.0,Active,Sterna caspia,Caspian Tern,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81176,176925.0,Active,Sterna elegans,Elegant Tern,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81133,176887.0,Active,Sterna forsteri,Forster's Tern,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81173,176922.0,Active,Sterna maxima,Royal Tern,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81137,176890.0,Active,Sterna paradisaea,Arctic Tern,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Laridae,81110,176866.0,Active,Xema sabini,Sabine's Gull,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Recurvirostridae,80285,176726.0,Active,Himantopus mexicanus,Black-necked Stilt,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Recurvirostridae,80280,176721.0,Active,Recurvirostra americana,American Avocet,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79222,176612.0,Active,Actitis macularia,Spotted Sandpiper,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79289,176673.0,Active,Aphriza virgata,Surfbird,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,77702,176571.0,Active,Arenaria interpres,Ruddy Turnstone,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,77705,176574.0,Active,Arenaria melanocephala,Black Turnstone,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79220,176610.0,Active,Bartramia longicauda,Upland Sandpiper,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79284,176669.0,Active,Calidris alba,Sanderling,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79276,176661.0,Active,Calidris alpina,Dunlin,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79269,176655.0,Active,Calidris bairdii,Baird's Sandpiper,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79255,176642.0,Active,Calidris canutus,Red Knot,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79283,176668.0,Active,Calidris mauri,Western Sandpiper,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79267,176653.0,Active,Calidris melanotos,Pectoral Sandpiper,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79270,176656.0,Active,Calidris minutilla,Least Sandpiper,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79250,176638.0,Active,Catoptrophorus semipalmatus,Willet,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,80257,176700.0,Active,Gallinago gallinago,Common Snipe,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79247,176635.0,Active,Heteroscelus incanus,Wandering Tattler,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79291,176675.0,Active,Limnodromus griseus,Short-billed Dowitcher,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79295,176679.0,Active,Limnodromus scolopaceus,Long-billed Dowitcher,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79303,176686.0,Active,Limosa fedoa,Marbled Godwit,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79200,176593.0,Active,Numenius americanus,Long-billed Curlew,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79206,176599.0,Active,Numenius phaeopus,Whimbrel,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Scolopacidae,265861,554376.0,Active,Phalaropus fulicaria,Red Phalarope,,Present,CHIS,33.998028000000005,-119.772949
